testCase,componentTags,testTags,testSuite
00102,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00103,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;0D-Compartment,semantic
00104,Compartment;Species;Reaction;Parameter;FunctionDefinition;RateRule,Amount;NonConstantCompartment;NonUnityCompartment,semantic
00105,Compartment;Species;Reaction;Parameter;FunctionDefinition;RateRule,Amount;NonConstantCompartment;NonUnityCompartment,semantic
00106,Compartment;Species;Reaction;Parameter;FunctionDefinition;RateRule,Amount;NonConstantCompartment;NonUnityCompartment,semantic
00107,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityCompartment,semantic
00108,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityCompartment,semantic
00109,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityCompartment,semantic
00110,Compartment;FunctionDefinition;Parameter;Reaction;Species,Amount;MultiCompartment;NonUnityStoichiometry,semantic
00111,Compartment;FunctionDefinition;Parameter;Reaction;Species,Amount;MultiCompartment;NonUnityStoichiometry,semantic
00112,Compartment;FunctionDefinition;Parameter;Reaction;Species,Amount;MultiCompartment;ReversibleReaction,semantic
00113,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;HasOnlySubstanceUnits,semantic
00114,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;HasOnlySubstanceUnits,semantic
00115,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;HasOnlySubstanceUnits,semantic
00116,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;BoundaryCondition,semantic
00117,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;BoundaryCondition,semantic
00118,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;BoundaryCondition,semantic
00119,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;ConstantSpecies,semantic
00120,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;ConstantSpecies,semantic
00121,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;ConstantSpecies,semantic
00122,Compartment;Species;Reaction;Parameter;FunctionDefinition;RateRule,Amount;NonConstantParameter,semantic
00123,Compartment;Species;Reaction;Parameter;FunctionDefinition;RateRule,Amount;NonConstantParameter,semantic
00124,Compartment;Species;Reaction;Parameter;FunctionDefinition;RateRule,Amount;NonConstantParameter,semantic
00125,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityStoichiometry,semantic
00126,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityStoichiometry,semantic
00127,Compartment;Parameter;Reaction;Species;FunctionDefinition,Amount;NonUnityStoichiometry,semantic
00128,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityStoichiometry,semantic
00129,StoichiometryMath;Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;AssignedConstantStoichiometry;DefaultValue;NonUnityStoichiometry,semantic
00130,StoichiometryMath;Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;AssignedConstantStoichiometry;DefaultValue;NonUnityStoichiometry,semantic
00131,StoichiometryMath;Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;AssignedConstantStoichiometry;DefaultValue;NonUnityStoichiometry,semantic
00132,Compartment;Species;Reaction;FunctionDefinition,Amount;LocalParameters,semantic
00133,Compartment;Parameter;Species;Reaction;FunctionDefinition,Amount;LocalParameters,semantic
00134,Compartment;Species;Parameter;Reaction;FunctionDefinition,Amount;LocalParameters,semantic
00135,Compartment;Species;Reaction;Parameter;InitialAssignment,Amount,semantic
00136,Compartment;Species;Reaction;Parameter;InitialAssignment,Amount;InitialValueReassigned,semantic
00137,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00138,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount,semantic
00139,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00140,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00141,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00142,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00143,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00144,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00145,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00146,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00147,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00148,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00149,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00150,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00151,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00152,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00153,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00154,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00155,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;0D-Compartment;InitialValueReassigned,semantic
00156,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;0D-Compartment;InitialValueReassigned,semantic
00157,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;NonUnityCompartment;InitialValueReassigned,semantic
00158,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;NonUnityCompartment;InitialValueReassigned,semantic
00159,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;NonUnityStoichiometry;InitialValueReassigned,semantic
00160,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;NonUnityStoichiometry;InitialValueReassigned,semantic
00161,Parameter;RateRule,NonConstantParameter,semantic
00162,Parameter;RateRule,NonConstantParameter,semantic
00163,Parameter;RateRule,NonConstantParameter,semantic
00164,Parameter;RateRule,NonConstantParameter,semantic
00165,Parameter;RateRule,NonConstantParameter,semantic
00166,Parameter;RateRule,NonConstantParameter,semantic
00167,Parameter;RateRule,NonConstantParameter,semantic
00168,Parameter;RateRule,NonConstantParameter,semantic
00169,Parameter;RateRule,NonConstantParameter,semantic
00170,Parameter;RateRule,NonConstantParameter,semantic
00171,Parameter;FunctionDefinition;RateRule,NonConstantParameter,semantic
00172,Parameter;RateRule;EventNoDelay,NonConstantParameter,semantic
00173,Parameter;RateRule,NonConstantParameter,semantic
00174,Parameter;AssignmentRule,InitialValueReassigned,semantic
00175,Parameter;RateRule,NonConstantParameter,semantic
00176,Parameter;RateRule,NonConstantParameter,semantic
00177,Parameter;RateRule,NonConstantParameter,semantic
00178,Parameter;FunctionDefinition;RateRule,NonConstantParameter,semantic
00179,Parameter;FunctionDefinition;RateRule,NonConstantParameter,semantic
00180,Parameter;InitialAssignment;RateRule,NonConstantParameter;InitialValueReassigned,semantic
00181,Parameter;RateRule;AssignmentRule,NonConstantParameter;InitialValueReassigned,semantic
00182,Parameter;RateRule;AlgebraicRule,NonConstantParameter,semantic
00183,Parameter;FunctionDefinition;RateRule;AssignmentRule,NonConstantParameter;InitialValueReassigned,semantic
00184,Parameter;FunctionDefinition;RateRule;AlgebraicRule,NonConstantParameter,semantic
00185,Parameter;InitialAssignment;RateRule;AssignmentRule,NonConstantParameter;InitialValueReassigned,semantic
00186,Compartment;Species;Reaction;Parameter,Amount,semantic
00187,Compartment;Species;Reaction;Parameter,Amount,semantic
00188,Compartment;Species;Reaction;Parameter,Amount,semantic
00189,Compartment;Species;Reaction;Parameter,Amount,semantic
00190,Compartment;Species;Reaction;Parameter,Amount,semantic
00191,Compartment;Species;Reaction;Parameter,Amount,semantic
00192,Compartment;Species;Reaction;Parameter,Amount,semantic
00193,Compartment;Species;Reaction;Parameter,Amount,semantic
00194,Compartment;Species;Reaction;Parameter,Amount,semantic
00195,Compartment;Species;Reaction;Parameter,Amount,semantic
00196,Compartment;Species;Reaction;Parameter,Amount,semantic
00197,Compartment;Species;Reaction;Parameter,Amount,semantic
00199,Compartment;Species;Reaction;Parameter,Amount,semantic
00202,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment,semantic
00203,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment,semantic
00204,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment,semantic
00205,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment,semantic
00206,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment,semantic
00207,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment,semantic
00208,Compartment;Species;Reaction;Parameter,Amount;HasOnlySubstanceUnits,semantic
00209,Compartment;Species;Reaction;Parameter,Amount;HasOnlySubstanceUnits,semantic
00210,Compartment;Species;Reaction;Parameter,Amount;HasOnlySubstanceUnits,semantic
00211,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00212,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00213,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00214,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00215,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00216,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00217,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00218,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00219,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00220,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00221,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00222,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00223,Compartment;Species;Reaction;Parameter,Amount;HasOnlySubstanceUnits,semantic
00224,Compartment;Species;Reaction;Parameter,Amount;HasOnlySubstanceUnits,semantic
00225,Compartment;Species;Reaction;Parameter,Amount;HasOnlySubstanceUnits,semantic
00226,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00227,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00228,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00229,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00230,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00231,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00232,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00233,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00234,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00235,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00236,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00237,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00238,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00239,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00240,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00241,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00242,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00243,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00244,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00245,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00246,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00247,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment;BoundaryCondition,semantic
00248,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies;NonUnityCompartment,semantic
00249,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies;NonUnityCompartment,semantic
00250,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies;NonUnityCompartment,semantic
00251,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies,semantic
00252,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies,semantic
00253,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies,semantic
00254,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies,semantic
00255,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies,semantic
00256,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies,semantic
00257,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies;0D-Compartment,semantic
00258,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies;0D-Compartment,semantic
00259,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies;0D-Compartment,semantic
00260,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00261,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00262,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry;0D-Compartment,semantic
00263,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00264,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00265,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry;0D-Compartment,semantic
00266,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00267,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00268,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry;0D-Compartment,semantic
00269,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00270,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00271,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00272,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00273,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00274,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00275,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00277,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00280,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityCompartment,semantic
00281,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityCompartment,semantic
00282,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityCompartment,semantic
00283,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityCompartment,semantic
00284,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityCompartment,semantic
00285,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;NonUnityCompartment,semantic
00286,AssignmentRule;Compartment;Parameter;Reaction;Species,Amount;MultiCompartment;NonUnityStoichiometry,semantic
00287,AssignmentRule;Compartment;Parameter;Reaction;Species,Amount;InitialValueReassigned;MultiCompartment;NonUnityStoichiometry,semantic
00288,AssignmentRule;Compartment;Parameter;Reaction;Species,Amount;MultiCompartment;ReversibleReaction,semantic
00289,AssignmentRule;Compartment;Parameter;Reaction;Species,Amount;InitialValueReassigned;MultiCompartment;NonUnityStoichiometry,semantic
00290,AssignmentRule;Compartment;Parameter;Reaction;Species,Amount;InitialValueReassigned;MultiCompartment;NonUnityStoichiometry,semantic
00291,AssignmentRule;Compartment;Parameter;Reaction;Species,Amount;MultiCompartment;NonUnityStoichiometry,semantic
00292,AssignmentRule;Compartment;Parameter;Reaction;Species,Amount;InitialValueReassigned;MultiCompartment;NonUnityStoichiometry,semantic
00293,AssignmentRule;Compartment;Parameter;Reaction;Species,Amount;InitialValueReassigned;MultiCompartment;ReversibleReaction,semantic
00294,AssignmentRule;Compartment;Parameter;Reaction;Species,Amount;InitialValueReassigned;MultiCompartment;ReversibleReaction,semantic
00295,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;HasOnlySubstanceUnits;InitialValueReassigned,semantic
00296,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;HasOnlySubstanceUnits,semantic
00297,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;BoundaryCondition;InitialValueReassigned,semantic
00298,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;BoundaryCondition;InitialValueReassigned,semantic
00299,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;BoundaryCondition,semantic
00300,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;BoundaryCondition,semantic
00301,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;BoundaryCondition,semantic
00302,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;BoundaryCondition,semantic
00303,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;BoundaryCondition;InitialValueReassigned,semantic
00304,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;ConstantSpecies;BoundaryCondition;InitialValueReassigned,semantic
00305,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;ConstantSpecies;BoundaryCondition;InitialValueReassigned,semantic
00306,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;BoundaryCondition;ConstantSpecies,semantic
00307,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;BoundaryCondition;ConstantSpecies,semantic
00308,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;ConstantSpecies,semantic
00309,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;ConstantSpecies;InitialValueReassigned,semantic
00310,Compartment;Species;Reaction;Parameter;AssignmentRule;RateRule,Amount;NonConstantCompartment;NonUnityCompartment;NonConstantParameter;InitialValueReassigned,semantic
00311,Compartment;Species;Reaction;Parameter;AssignmentRule;RateRule,Amount;NonConstantCompartment;NonUnityCompartment;NonConstantParameter;InitialValueReassigned,semantic
00312,Compartment;Species;Reaction;Parameter;AssignmentRule;RateRule,Amount;NonConstantCompartment;NonUnityCompartment;NonConstantParameter;InitialValueReassigned,semantic
00313,Compartment;Species;RateRule;Reaction;Parameter;AssignmentRule,Amount;NonConstantCompartment;NonUnityCompartment;NonConstantParameter;InitialValueReassigned,semantic
00314,Compartment;Species;RateRule;Reaction;Parameter;AssignmentRule,Amount;NonConstantCompartment;NonUnityCompartment;NonConstantParameter;InitialValueReassigned,semantic
00315,Compartment;Species;RateRule;Reaction;Parameter;AssignmentRule,Amount;NonConstantCompartment;NonUnityCompartment;NonConstantParameter;InitialValueReassigned,semantic
00316,Compartment;Species;RateRule;Reaction;Parameter;AssignmentRule,Amount;NonConstantCompartment;NonUnityCompartment;NonConstantParameter;InitialValueReassigned,semantic
00317,Compartment;Species;RateRule;Reaction;Parameter;AssignmentRule,Amount;NonConstantCompartment;NonUnityCompartment;NonConstantParameter;InitialValueReassigned,semantic
00318,Compartment;Species;RateRule;Reaction;Parameter;AssignmentRule,Amount;NonConstantCompartment;NonUnityCompartment;NonConstantParameter;InitialValueReassigned,semantic
00319,Compartment;Species;Reaction;Parameter;RateRule,Amount,semantic
00320,Compartment;Species;Reaction;Parameter;RateRule,Amount,semantic
00321,Compartment;Species;Reaction;Parameter;RateRule,Amount;0D-Compartment,semantic
00322,Compartment;Species;Reaction;Parameter;RateRule,Amount,semantic
00323,Compartment;Species;Reaction;Parameter;RateRule,Amount,semantic
00324,Compartment;Species;Reaction;Parameter;RateRule,Amount;0D-Compartment,semantic
00325,Compartment;Species;Reaction;Parameter;RateRule,Amount,semantic
00326,Compartment;Species;Reaction;Parameter;RateRule,Amount,semantic
